시군명,가축전염병명,농장소재지,축종명,감염두수,진단일자,병성감정기관명
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 자일리,닭-산란계,0,2016-12-10,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 자일리,닭-산란계,0,2016-12-10,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 문암리,닭-산란계,0,2016-12-16,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 야미리,닭-산란계,0,2016-12-16,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 창수면 주원리,닭-산란계,0,2016-12-18,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 야미리,닭-산란계,,2016-12-20,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 야미리,닭-산란계,0,2016-12-20,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 영중면 성동리,닭-산란계,,2016-12-22,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 관인면 사정리,닭-종계,,2016-12-22,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 야미리,닭-산란계,,2016-12-22,조류질병과
포천시,고병원성조류인플루엔자,경기도 포천시 창수면 주원리,닭-산란계,,2016-12-24,조류질병과
포천시,결핵병,경기도 포천시 창수면 운산리,소-한우,1,2016-12-30,경기 북부 북부지소
