시군명,가축전염병명,농장소재지,축종명,감염두수,진단일자,병성감정기관명
화성시,브루셀라병,경기도 화성시 안녕동,소-젖소,4,2001-04-23,경기도축산위생연구소
화성시,브루셀라병,경기도 화성시 우정읍 석천리,소-젖소,2,2001-04-23,경기도축산위생연구소
화성시,결핵병,경기도 화성시 신남동,소-젖소,4,2001-04-28,경기도축산위생연구소
화성시,브루셀라병,경기도 화성시 비봉면 청요리,소-젖소,1,2001-05-03,경기도축산위생연구소
화성시,브루셀라병,경기도 화성시 봉담읍,소-젖소,4,2001-05-03,경기도축산위생연구소
화성시,브루셀라병,경기도 화성시 마도면 백곡리,소-젖소,3,2001-05-22,경기도축산위생연구소
화성시,결핵병,경기도 화성시 향남읍 상두리,소-젖소,4,2001-05-24,경기도축산위생연구소
화성시,돼지생식기호흡기증후군,경기도 화성시 온석동,돼지-육성돈,400,2001-05-29,병리진단과
화성시,브루셀라병,경기도 화성시 양감면 용소리,소-젖소,1,2001-06-07,경기도축산위생연구소
화성시,돼지오제스키병,경기도 화성시 남양동,돼지,4,2001-06-12,경기도축산위생연구소
화성시,결핵병,경기도 화성시 양감면,소-젖소,2,2001-06-15,경기도축산위생연구소
화성시,브루셀라병,경기도 화성시 향남읍 상신리,소-젖소,12,2001-06-16,경기도축산위생연구소
화성시,브루셀라병,경기도 화성시 봉담읍,소-젖소,4,2001-06-16,경기도축산위생연구소
화성시,브루셀라병,경기도 화성시 향남읍 도이리,소-젖소,2,2001-06-18,경기도축산위생연구소
화성시,브루셀라병,경기도 화성시 봉담읍,소-젖소,1,2001-06-18,경기도축산위생연구소
화성시,돼지생식기호흡기증후군,경기도 화성시 팔탄면 율암리,돼지-육성돈,50,2001-06-18,병리진단과
화성시,돼지오제스키병,경기도 화성시 남양동,돼지,12,2001-06-25,경기도축산위생연구소
화성시,결핵병,경기도 화성시 우정읍 화산리,소,10,2001-07-06,경기도축산위생연구소
화성시,브루셀라병,경기도 화성시 봉담읍,소-젖소,2,2001-07-14,경기도축산위생연구소
화성시,결핵병,경기도 화성시 팔탄면,소-젖소,11,2001-07-14,경기도축산위생연구소
화성시,결핵병,경기도 화성시 팔탄면,소-젖소,2,2001-07-20,경기도축산위생연구소
화성시,결핵병,경기도 화성시 향남읍 상두리,소-젖소,2,2001-07-21,경기도축산위생연구소
화성시,가금티프스,경기도 화성시 정남면,닭,6000,2001-08-02,경기도축산위생연구소
화성시,브루셀라병,경기도 화성시 장안면,소-젖소,1,2001-08-07,경기도축산위생연구소
화성시,결핵병,경기도 화성시 우정읍 화산리,소,7,2001-08-13,경기도축산위생연구소
화성시,결핵병,경기도 화성시 양감면,소-젖소,1,2001-08-16,경기도축산위생연구소
화성시,브루셀라병,경기도 화성시 향남읍 상신리,소-젖소,10,2001-08-17,경기도축산위생연구소
