"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0~9세","2022년08월_계_10~19세","2022년08월_계_20~29세","2022년08월_계_30~39세","2022년08월_계_40~49세","2022년08월_계_50~59세","2022년08월_계_60~69세","2022년08월_계_70~79세","2022년08월_계_80~89세","2022년08월_계_90~99세","2022년08월_계_100세 이상","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0~9세","2022년08월_남_10~19세","2022년08월_남_20~29세","2022년08월_남_30~39세","2022년08월_남_40~49세","2022년08월_남_50~59세","2022년08월_남_60~69세","2022년08월_남_70~79세","2022년08월_남_80~89세","2022년08월_남_90~99세","2022년08월_남_100세 이상","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0~9세","2022년08월_여_10~19세","2022년08월_여_20~29세","2022년08월_여_30~39세","2022년08월_여_40~49세","2022년08월_여_50~59세","2022년08월_여_60~69세","2022년08월_여_70~79세","2022년08월_여_80~89세","2022년08월_여_90~99세","2022년08월_여_100세 이상"
"인천광역시 미추홀구 주안7동(2817768000)","12,340","12,340","463","854","1,425","1,227","1,783","2,197","2,318","1,338","645","85","5","5,974","5,974","235","451","778","670","918","1,051","1,024","584","243","17","3","6,366","6,366","228","403","647","557","865","1,146","1,294","754","402","68","2"
"인천광역시 미추홀구 주안8동(2817769000)","20,648","20,648","1,003","1,758","2,673","2,306","3,057","3,845","3,397","1,691","817","98","3","10,065","10,065","497","886","1,417","1,226","1,548","1,842","1,579","741","301","28","0","10,583","10,583","506","872","1,256","1,080","1,509","2,003","1,818","950","516","70","3"
"인천광역시 미추홀구 관교동(2817770000)","14,756","14,756","785","1,295","1,787","1,677","2,209","2,539","2,569","1,277","518","96","4","7,223","7,223","424","662","911","860","1,116","1,200","1,208","628","185","28","1","7,533","7,533","361","633","876","817","1,093","1,339","1,361","649","333","68","3"
"인천광역시 미추홀구 문학동(2817771000)","14,577","14,577","718","1,181","1,896","1,943","2,860","2,809","1,860","877","373","60","0","7,867","7,867","357","607","997","1,104","1,647","1,618","981","396","151","9","0","6,710","6,710","361","574","899","839","1,213","1,191","879","481","222","51","0"
"인천광역시 연수구 (2818500000)","386,257","386,257","35,284","43,348","48,535","54,447","68,678","64,994","44,841","16,595","8,045","1,437","53","191,747","191,747","17,992","22,194","25,346","26,835","33,675","32,063","22,805","7,774","2,758","294","11","194,510","194,510","17,292","21,154","23,189","27,612","35,003","32,931","22,036","8,821","5,287","1,143","42"
"인천광역시 연수구 옥련1동(2818563000)","19,123","19,123","1,188","1,784","2,460","2,138","2,991","3,647","2,778","1,353","672","111","1","9,471","9,471","609","944","1,321","1,105","1,494","1,775","1,359","601","234","28","1","9,652","9,652","579","840","1,139","1,033","1,497","1,872","1,419","752","438","83","0"
"인천광역시 연수구 옥련2동(2818564000)","20,077","20,077","1,293","2,085","2,687","2,260","3,200","3,866","2,786","1,233","570","93","4","9,898","9,898","678","1,071","1,436","1,115","1,553","1,847","1,393","585","199","20","1","10,179","10,179","615","1,014","1,251","1,145","1,647","2,019","1,393","648","371","73","3"
"인천광역시 연수구 선학동(2818575000)","16,869","16,869","770","1,052","2,176","2,142","2,278","3,119","3,283","1,301","634","107","7","8,767","8,767","433","544","1,239","1,225","1,256","1,529","1,684","618","217","21","1","8,102","8,102","337","508","937","917","1,022","1,590","1,599","683","417","86","6"
"인천광역시 연수구 연수1동(2818576100)","18,798","18,798","764","1,434","2,782","2,354","2,945","3,838","2,855","1,203","533","86","4","10,336","10,336","395","785","1,614","1,430","1,713","2,071","1,551","557","200","20","0","8,462","8,462","369","649","1,168","924","1,232","1,767","1,304","646","333","66","4"
"인천광역시 연수구 연수2동(2818576200)","20,794","20,794","1,218","1,605","2,961","3,178","2,966","3,663","3,157","1,178","723","138","7","10,176","10,176","617","823","1,586","1,655","1,449","1,724","1,559","531","202","29","1","10,618","10,618","601","782","1,375","1,523","1,517","1,939","1,598","647","521","109","6"
"인천광역시 연수구 연수3동(2818576300)","15,810","15,810","844","1,102","1,995","2,177","1,996","2,862","2,719","1,218","740","152","5","7,522","7,522","445","556","1,033","1,143","946","1,292","1,342","526","213","25","1","8,288","8,288","399","546","962","1,034","1,050","1,570","1,377","692","527","127","4"
"인천광역시 연수구 청학동(2818576600)","24,528","24,528","1,073","1,640","3,139","3,041","3,354","5,050","4,250","1,845","971","158","7","12,721","12,721","525","843","1,777","1,751","1,813","2,596","2,194","845","341","31","5","11,807","11,807","548","797","1,362","1,290","1,541","2,454","2,056","1,000","630","127","2"
"인천광역시 연수구 동춘1동(2818578000)","25,138","25,138","2,177","2,629","3,082","3,507","4,134","4,631","3,400","1,019","457","97","5","12,365","12,365","1,118","1,317","1,604","1,738","2,015","2,132","1,766","495","155","25","0","12,773","12,773","1,059","1,312","1,478","1,769","2,119","2,499","1,634","524","302","72","5"
"인천광역시 연수구 동춘2동(2818579000)","18,126","18,126","1,215","1,860","2,401","2,600","2,725","3,390","2,531","847","496","59","2","8,809","8,809","613","958","1,252","1,338","1,259","1,576","1,247","389","164","13","0","9,317","9,317","602","902","1,149","1,262","1,466","1,814","1,284","458","332","46","2"
"인천광역시 연수구 동춘3동(2818579500)","18,241","18,241","1,277","2,712","2,433","1,645","3,155","3,406","2,196","880","448","88","1","8,866","8,866","638","1,395","1,268","740","1,416","1,660","1,146","411","173","19","0","9,375","9,375","639","1,317","1,165","905","1,739","1,746","1,050","469","275","69","1"
"인천광역시 연수구 송도1동(2818582000)","37,811","37,811","2,781","5,552","6,492","4,189","6,438","6,474","3,895","1,293","570","125","2","18,572","18,572","1,403","2,876","3,231","2,022","2,919","3,224","2,006","646","225","20","0","19,239","19,239","1,378","2,676","3,261","2,167","3,519","3,250","1,889","647","345","105","2"
"인천광역시 연수구 송도2동(2818583000)","36,456","36,456","4,449","6,429","3,506","4,059","8,370","5,807","2,584","789","397","63","3","17,929","17,929","2,247","3,309","1,803","1,727","3,855","3,087","1,392","351","145","13","0","18,527","18,527","2,202","3,120","1,703","2,332","4,515","2,720","1,192","438","252","50","3"
"인천광역시 연수구 송도3동(2818584000)","48,745","48,745","6,283","6,237","6,061","8,620","10,027","6,483","3,432","1,111","414","74","3","23,885","23,885","3,181","3,165","2,965","3,990","4,900","3,268","1,727","529","143","16","1","24,860","24,860","3,102","3,072","3,096","4,630","5,127","3,215","1,705","582","271","58","2"
"인천광역시 연수구 송도4동(2818585000)","25,820","25,820","3,682","3,227","2,679","4,290","5,617","3,618","1,913","561","200","32","1","12,684","12,684","1,882","1,581","1,339","1,961","2,778","1,808","959","291","78","7","0","13,136","13,136","1,800","1,646","1,340","2,329","2,839","1,810","954","270","122","25","1"
"인천광역시 연수구 송도5동(2818586000)","39,921","39,921","6,270","4,000","3,681","8,247","8,482","5,140","3,062","764","220","54","1","19,746","19,746","3,208","2,027","1,878","3,895","4,309","2,474","1,480","399","69","7","0","20,175","20,175","3,062","1,973","1,803","4,352","4,173","2,666","1,582","365","151","47","1"
"인천광역시 남동구 (2820000000)","509,710","509,710","35,237","47,876","66,123","66,085","85,151","88,094","72,120","32,594","14,189","2,177","64","253,164","253,164","18,171","24,554","34,176","34,185","43,461","43,461","34,832","14,950","4,942","421","11","256,546","256,546","17,066","23,322","31,947","31,900","41,690","44,633","37,288","17,644","9,247","1,756","53"
"인천광역시 남동구 구월1동(2820051000)","30,971","30,971","2,631","3,116","3,879","4,157","5,630","4,921","4,113","1,683","705","131","5","15,113","15,113","1,353","1,532","1,939","2,022","2,914","2,307","1,993","789","241","22","1","15,858","15,858","1,278","1,584","1,940","2,135","2,716","2,614","2,120","894","464","109","4"
"인천광역시 남동구 구월2동(2820052000)","35,171","35,171","3,095","4,422","4,114","3,974","6,511","5,805","4,486","1,911","721","125","7","17,258","17,258","1,639","2,283","2,134","1,872","3,144","2,847","2,134","905","281","18","1","17,913","17,913","1,456","2,139","1,980","2,102","3,367","2,958","2,352","1,006","440","107","6"
"인천광역시 남동구 구월3동(2820052100)","30,250","30,250","1,449","1,764","6,542","5,794","4,802","4,533","3,249","1,460","579","77","1","15,140","15,140","737","919","2,944","3,149","2,610","2,294","1,593","659","218","17","0","15,110","15,110","712","845","3,598","2,645","2,192","2,239","1,656","801","361","60","1"
"인천광역시 남동구 구월4동(2820052200)","14,480","14,480","512","900","2,029","1,572","2,076","2,840","2,571","1,321","567","92","0","7,347","7,347","278","498","1,038","901","1,138","1,442","1,247","588","199","18","0","7,133","7,133","234","402","991","671","938","1,398","1,324","733","368","74","0"
"인천광역시 남동구 간석1동(2820053000)","18,192","18,192","834","1,243","2,466","2,601","2,739","3,129","2,841","1,540","680","118","1","8,927","8,927","440","643","1,275","1,382","1,443","1,529","1,309","645","243","18","0","9,265","9,265","394","600","1,191","1,219","1,296","1,600","1,532","895","437","100","1"
"인천광역시 남동구 간석2동(2820054000)","21,758","21,758","1,385","2,044","2,714","2,575","3,676","3,820","3,155","1,616","663","107","3","10,910","10,910","732","1,057","1,430","1,322","1,840","1,959","1,540","747","252","30","1","10,848","10,848","653","987","1,284","1,253","1,836","1,861","1,615","869","411","77","2"
"인천광역시 남동구 간석3동(2820055000)","27,242","27,242","1,368","1,902","3,763","3,566","3,968","5,129","4,366","2,102","947","127","4","13,556","13,556","694","963","1,910","1,877","2,135","2,532","2,107","959","352","25","2","13,686","13,686","674","939","1,853","1,689","1,833","2,597","2,259","1,143","595","102","2"
"인천광역시 남동구 간석4동(2820055100)","28,937","28,937","1,618","2,256","4,097","3,876","4,498","5,146","4,443","2,017","849","131","6","14,419","14,419","814","1,145","2,062","2,052","2,294","2,576","2,187","966","291","32","0","14,518","14,518","804","1,111","2,035","1,824","2,204","2,570","2,256","1,051","558","99","6"
"인천광역시 남동구 만수1동(2820056000)","16,777","16,777","763","978","2,053","2,126","2,232","3,107","3,022","1,529","859","107","1","8,143","8,143","375","483","1,061","1,154","1,185","1,545","1,436","635","248","21","0","8,634","8,634","388","495","992","972","1,047","1,562","1,586","894","611","86","1"
"인천광역시 남동구 만수2동(2820057000)","23,813","23,813","1,471","2,331","3,015","2,699","3,919","4,279","3,688","1,671","640","99","1","11,670","11,670","736","1,146","1,585","1,427","1,970","2,052","1,712","785","237","20","0","12,143","12,143","735","1,185","1,430","1,272","1,949","2,227","1,976","886","403","79","1"
"인천광역시 남동구 만수3동(2820058000)","17,519","17,519","1,183","1,558","2,388","2,070","2,801","3,082","2,684","1,230","448","73","2","8,842","8,842","607","800","1,290","1,085","1,467","1,510","1,330","576","163","14","0","8,677","8,677","576","758","1,098","985","1,334","1,572","1,354","654","285","59","2"
"인천광역시 남동구 만수4동(2820058100)","20,497","20,497","1,238","1,758","2,554","2,624","3,105","3,607","3,356","1,470","678","101","6","10,004","10,004","626","929","1,374","1,371","1,548","1,676","1,567","678","213","20","2","10,493","10,493","612","829","1,180","1,253","1,557","1,931","1,789","792","465","81","4"
"인천광역시 남동구 만수5동(2820058200)","15,324","15,324","553","918","2,114","1,757","1,957","2,886","2,892","1,555","611","80","1","7,645","7,645","291","458","1,110","996","1,077","1,410","1,377","687","226","13","0","7,679","7,679","262","460","1,004","761","880","1,476","1,515","868","385","67","1"
"인천광역시 남동구 만수6동(2820058300)","23,843","23,843","1,180","2,119","3,086","2,638","3,422","4,680","3,925","1,675","959","156","3","11,549","11,549","604","1,068","1,626","1,391","1,642","2,230","1,920","738","300","30","0","12,294","12,294","576","1,051","1,460","1,247","1,780","2,450","2,005","937","659","126","3"
"인천광역시 남동구 장수서창동(2820065000)","19,653","19,653","1,372","2,156","2,188","2,104","3,245","3,457","3,112","1,367","571","77","4","9,814","9,814","712","1,135","1,183","1,075","1,638","1,674","1,525","636","217","19","0","9,839","9,839","660","1,021","1,005","1,029","1,607","1,783","1,587","731","354","58","4"
"인천광역시 남동구 서창2동(2820065500)","39,097","39,097","5,120","4,209","3,359","6,392","8,069","4,963","4,481","1,798","604","95","7","19,402","19,402","2,643","2,223","1,709","3,027","4,215","2,348","2,146","874","206","9","2","19,695","19,695","2,477","1,986","1,650","3,365","3,854","2,615","2,335","924","398","86","5"
"인천광역시 남동구 남촌도림동(2820066000)","20,889","20,889","1,079","1,747","2,772","2,224","3,053","4,225","3,462","1,512","700","111","4","10,737","10,737","563","947","1,525","1,220","1,609","2,125","1,752","726","251","19","0","10,152","10,152","516","800","1,247","1,004","1,444","2,100","1,710","786","449","92","4"
"인천광역시 남동구 논현1동(2820069000)","31,711","31,711","2,532","3,455","3,893","4,115","5,698","5,572","3,945","1,645","739","115","2","15,955","15,955","1,303","1,778","2,078","2,182","2,868","2,816","1,889","756","260","24","1","15,756","15,756","1,229","1,677","1,815","1,933","2,830","2,756","2,056","889","479","91","1"
"인천광역시 남동구 논현2동(2820070000)","32,727","32,727","2,122","3,165","4,524","4,471","5,419","5,687","4,195","2,007","974","160","3","16,544","16,544","1,120","1,632","2,479","2,465","2,757","2,857","1,977","909","315","32","1","16,183","16,183","1,002","1,533","2,045","2,006","2,662","2,830","2,218","1,098","659","128","2"
"인천광역시 남동구 논현고잔동(2820071000)","40,859","40,859","3,732","5,835","4,573","4,750","8,331","7,226","4,134","1,485","695","95","3","20,189","20,189","1,904","2,915","2,424","2,215","3,967","3,732","2,091","692","229","20","0","20,670","20,670","1,828","2,920","2,149","2,535","4,364","3,494","2,043","793","466","75","3"
"인천광역시 부평구 (2823700000)","490,558","490,558","29,525","40,862","66,127","68,126","74,531","87,944","72,698","32,946","15,464","2,253","82","242,032","242,032","15,086","21,143","33,729","35,472","37,714","42,649","35,307","15,059","5,380","477","16","248,526","248,526","14,439","19,719","32,398","32,654","36,817","45,295","37,391","17,887","10,084","1,776","66"
"인천광역시 부평구 부평1동(2823751000)","36,145","36,145","2,077","2,662","5,526","5,772","5,384","6,128","4,937","2,322","1,153","177","7","17,343","17,343","996","1,309","2,656","2,992","2,694","2,850","2,329","1,023","443","49","2","18,802","18,802","1,081","1,353","2,870","2,780","2,690","3,278","2,608","1,299","710","128","5"
"인천광역시 부평구 부평2동(2823752000)","14,844","14,844","718","1,111","2,026","2,035","2,235","2,596","2,265","1,296","503","57","2","7,396","7,396","340","580","1,034","1,120","1,166","1,304","1,049","604","182","15","2","7,448","7,448","378","531","992","915","1,069","1,292","1,216","692","321","42","0"
"인천광역시 부평구 부평3동(2823753000)","12,525","12,525","555","765","1,531","1,614","1,781","2,223","2,205","1,163","585","99","4","6,251","6,251","280","405","810","900","921","1,116","1,081","515","201","21","1","6,274","6,274","275","360","721","714","860","1,107","1,124","648","384","78","3"
"인천광역시 부평구 부평4동(2823754000)","36,740","36,740","2,222","2,324","5,845","6,523","5,550","6,001","4,792","2,317","1,036","127","3","18,131","18,131","1,128","1,211","2,791","3,479","2,857","2,903","2,296","1,070","368","28","0","18,609","18,609","1,094","1,113","3,054","3,044","2,693","3,098","2,496","1,247","668","99","3"
"인천광역시 부평구 부평5동(2823755000)","31,126","31,126","2,192","2,118","4,798","5,593","5,068","4,947","3,839","1,689","774","104","4","15,306","15,306","1,143","1,038","2,284","2,955","2,696","2,363","1,791","753","255","27","1","15,820","15,820","1,049","1,080","2,514","2,638","2,372","2,584","2,048","936","519","77","3"
"인천광역시 부평구 부평6동(2823756000)","14,772","14,772","948","866","1,931","2,307","2,217","2,524","2,288","1,058","565","68","0","7,300","7,300","509","464","925","1,175","1,201","1,230","1,088","481","213","14","0","7,472","7,472","439","402","1,006","1,132","1,016","1,294","1,200","577","352","54","0"
"인천광역시 부평구 산곡1동(2823757000)","13,075","13,075","857","952","1,466","2,015","1,905","2,242","2,137","958","462","76","5","6,553","6,553","476","505","779","1,047","972","1,134","1,011","451","163","15","0","6,522","6,522","381","447","687","968","933","1,108","1,126","507","299","61","5"
"인천광역시 부평구 산곡2동(2823758000)","30,538","30,538","2,309","3,599","3,713","3,355","5,273","5,445","4,205","1,780","746","110","3","15,028","15,028","1,188","1,896","1,954","1,605","2,529","2,642","2,057","856","276","24","1","15,510","15,510","1,121","1,703","1,759","1,750","2,744","2,803","2,148","924","470","86","2"
"인천광역시 부평구 산곡3동(2823758100)","21,683","21,683","1,002","1,899","2,681","2,264","2,871","3,924","3,820","1,960","1,070","181","11","10,495","10,495","520","1,004","1,446","1,155","1,419","1,850","1,806","910","347","35","3","11,188","11,188","482","895","1,235","1,109","1,452","2,074","2,014","1,050","723","146","8"
"인천광역시 부평구 산곡4동(2823758200)","17,292","17,292","1,028","1,654","2,356","2,026","2,580","3,214","2,613","1,117","612","89","3","8,266","8,266","522","853","1,205","1,007","1,232","1,468","1,249","503","206","20","1","9,026","9,026","506","801","1,151","1,019","1,348","1,746","1,364","614","406","69","2"
"인천광역시 부평구 청천1동(2823759100)","6,880","6,880","283","470","845","806","1,013","1,426","1,261","520","215","39","2","3,681","3,681","134","238","465","456","561","806","693","246","74","8","0","3,199","3,199","149","232","380","350","452","620","568","274","141","31","2"
"인천광역시 부평구 청천2동(2823759200)","35,052","35,052","2,535","2,908","4,574","5,182","5,238","6,357","5,121","2,045","945","143","4","17,500","17,500","1,321","1,535","2,349","2,645","2,738","3,083","2,502","948","349","29","1","17,552","17,552","1,214","1,373","2,225","2,537","2,500","3,274","2,619","1,097","596","114","3"
"인천광역시 부평구 갈산1동(2823764100)","16,357","16,357","752","1,194","2,381","2,250","2,289","3,245","2,582","1,094","496","69","5","8,301","8,301","374","657","1,286","1,245","1,184","1,607","1,256","512","169","11","0","8,056","8,056","378","537","1,095","1,005","1,105","1,638","1,326","582","327","58","5"
"인천광역시 부평구 갈산2동(2823764200)","18,348","18,348","1,011","1,350","2,205","2,538","2,411","3,287","3,331","1,431","650","129","5","8,859","8,859","517","686","1,161","1,290","1,207","1,496","1,621","669","190","22","0","9,489","9,489","494","664","1,044","1,248","1,204","1,791","1,710","762","460","107","5"
"인천광역시 부평구 삼산1동(2823764600)","32,599","32,599","1,918","3,279","4,267","3,686","5,174","6,317","4,695","2,001","1,078","178","6","15,940","15,940","1,008","1,667","2,279","1,878","2,534","3,041","2,321","882","293","34","3","16,659","16,659","910","1,612","1,988","1,808","2,640","3,276","2,374","1,119","785","144","3"
"인천광역시 부평구 삼산2동(2823764800)","28,341","28,341","2,001","3,979","3,579","2,662","5,286","5,532","3,213","1,326","655","103","5","13,690","13,690","994","2,060","1,818","1,281","2,406","2,733","1,608","557","223","10","0","14,651","14,651","1,007","1,919","1,761","1,381","2,880","2,799","1,605","769","432","93","5"
"인천광역시 부평구 부개1동(2823765000)","16,727","16,727","799","1,056","2,004","2,110","2,377","2,922","3,107","1,619","654","76","3","8,405","8,405","414","546","1,103","1,116","1,297","1,483","1,433","742","250","20","1","8,322","8,322","385","510","901","994","1,080","1,439","1,674","877","404","56","2"
"인천광역시 부평구 부개2동(2823766000)","19,832","19,832","1,366","1,703","2,562","2,880","3,122","3,433","2,824","1,328","555","56","3","9,702","9,702","700","837","1,296","1,474","1,574","1,625","1,357","617","210","12","0","10,130","10,130","666","866","1,266","1,406","1,548","1,808","1,467","711","345","44","3"
"인천광역시 부평구 부개3동(2823766100)","30,041","30,041","1,586","2,910","4,388","3,880","4,632","5,880","4,129","1,670","822","143","1","14,401","14,401","796","1,479","2,227","1,883","2,187","2,722","2,079","742","260","26","0","15,640","15,640","790","1,431","2,161","1,997","2,445","3,158","2,050","928","562","117","1"
"인천광역시 부평구 일신동(2823767000)","12,308","12,308","867","1,015","1,476","1,646","1,774","2,046","2,159","896","381","48","0","6,276","6,276","448","560","827","888","942","972","1,060","432","134","13","0","6,032","6,032","419","455","649","758","832","1,074","1,099","464","247","35","0"
"인천광역시 부평구 십정1동(2823768000)","23,002","23,002","1,512","1,663","3,213","4,242","3,220","3,793","3,151","1,444","671","91","2","11,598","11,598","784","858","1,585","2,363","1,663","1,880","1,544","647","251","23","0","11,404","11,404","728","805","1,628","1,879","1,557","1,913","1,607","797","420","68","2"
"인천광역시 부평구 십정2동(2823769000)","22,331","22,331","987","1,385","2,760","2,740","3,131","4,462","4,024","1,912","836","90","4","11,610","11,610","494","755","1,449","1,518","1,734","2,341","2,076","899","323","21","0","10,721","10,721","493","630","1,311","1,222","1,397","2,121","1,948","1,013","513","69","4"
"인천광역시 계양구 (2824500000)","291,779","291,779","16,190","24,598","40,543","37,670","43,382","58,033","45,292","16,565","8,237","1,244","25","145,342","145,342","8,239","12,499","21,398","19,755","21,824","28,102","22,902","7,648","2,709","263","3","146,437","146,437","7,951","12,099","19,145","17,915","21,558","29,931","22,390","8,917","5,528","981","22"
"인천광역시 계양구 효성1동(2824560100)","27,436","27,436","1,546","2,253","3,596","3,646","3,916","5,199","4,585","1,764","815","113","3","13,761","13,761","787","1,176","1,917","1,881","1,995","2,524","2,326","840","286","28","1","13,675","13,675","759","1,077","1,679","1,765","1,921","2,675","2,259","924","529","85","2"
"인천광역시 계양구 효성2동(2824560200)","28,707","28,707","1,604","2,500","3,945","3,371","4,143","5,683","4,738","1,837","782","101","3","14,514","14,514","832","1,246","2,214","1,792","2,094","2,749","2,396","879","292","20","0","14,193","14,193","772","1,254","1,731","1,579","2,049","2,934","2,342","958","490","81","3"
"인천광역시 계양구 계산1동(2824561100)","19,091","19,091","636","1,125","2,749","2,428","2,522","4,028","3,474","1,421","625","82","1","10,063","10,063","341","586","1,473","1,405","1,377","2,152","1,819","687","206","17","0","9,028","9,028","295","539","1,276","1,023","1,145","1,876","1,655","734","419","65","1"
"인천광역시 계양구 계산2동(2824561200)","15,603","15,603","549","880","2,237","2,129","1,930","3,163","3,012","1,133","491","77","2","7,735","7,735","267","462","1,132","1,152","1,006","1,524","1,473","540","160","19","0","7,868","7,868","282","418","1,105","977","924","1,639","1,539","593","331","58","2"
"인천광역시 계양구 계산3동(2824561300)","18,802","18,802","776","1,340","2,996","2,832","2,349","3,960","3,189","821","466","73","0","9,013","9,013","385","684","1,562","1,449","1,121","1,706","1,580","379","133","14","0","9,789","9,789","391","656","1,434","1,383","1,228","2,254","1,609","442","333","59","0"
"인천광역시 계양구 계산4동(2824561400)","22,903","22,903","1,339","2,421","3,515","2,555","3,718","4,999","3,029","672","525","128","2","11,557","11,557","676","1,207","1,828","1,349","1,829","2,471","1,696","328","152","21","0","11,346","11,346","663","1,214","1,687","1,206","1,889","2,528","1,333","344","373","107","2"
"인천광역시 계양구 작전1동(2824562100)","27,325","27,325","1,534","2,533","3,883","3,336","4,118","5,502","4,157","1,448","712","102","0","13,397","13,397","786","1,288","2,040","1,695","2,006","2,617","2,060","655","225","25","0","13,928","13,928","748","1,245","1,843","1,641","2,112","2,885","2,097","793","487","77","0"
"인천광역시 계양구 작전2동(2824562200)","19,398","19,398","891","1,269","2,641","2,672","2,597","3,790","3,470","1,354","622","91","1","9,571","9,571","441","650","1,382","1,455","1,326","1,796","1,672","616","214","19","0","9,827","9,827","450","619","1,259","1,217","1,271","1,994","1,798","738","408","72","1"
"인천광역시 계양구 작전서운동(2824564000)","34,475","34,475","2,435","3,389","4,984","4,670","5,591","6,938","4,204","1,322","817","122","3","17,139","17,139","1,245","1,670","2,667","2,420","2,745","3,346","2,190","596","233","26","1","17,336","17,336","1,190","1,719","2,317","2,250","2,846","3,592","2,014","726","584","96","2"
"인천광역시 계양구 계양1동(2824571000)","20,420","20,420","1,214","1,588","2,709","2,522","2,928","4,024","3,306","1,333","683","112","1","10,100","10,100","634","801","1,388","1,279","1,478","1,947","1,692","600","262","19","0","10,320","10,320","580","787","1,321","1,243","1,450","2,077","1,614","733","421","93","1"
"인천광역시 계양구 계양2동(2824572000)","32,577","32,577","1,414","2,382","4,645","4,248","4,567","6,719","5,063","2,196","1,174","161","8","16,127","16,127","717","1,202","2,447","2,293","2,262","3,297","2,574","945","356","33","1","16,450","16,450","697","1,180","2,198","1,955","2,305","3,422","2,489","1,251","818","128","7"
"인천광역시 계양구 계양3동(2824573000)","25,042","25,042","2,252","2,918","2,643","3,261","5,003","4,028","3,065","1,264","525","82","1","12,365","12,365","1,128","1,527","1,348","1,585","2,585","1,973","1,424","583","190","22","0","12,677","12,677","1,124","1,391","1,295","1,676","2,418","2,055","1,641","681","335","60","1"
"인천광역시 서구 (2826000000)","578,529","578,529","51,343","59,278","72,635","85,752","101,749","98,319","68,560","27,003","11,920","1,898","72","291,993","291,993","26,331","30,389","37,538","43,776","52,342","49,638","34,776","12,727","4,086","375","15","286,536","286,536","25,012","28,889","35,097","41,976","49,407","48,681","33,784","14,276","7,834","1,523","57"
"인천광역시 서구 검암경서동(2826051500)","45,584","45,584","3,885","4,426","6,196","7,791","8,581","7,343","4,634","1,882","718","123","5","23,333","23,333","2,023","2,323","3,215","4,107","4,498","3,680","2,312","889","262","21","3","22,251","22,251","1,862","2,103","2,981","3,684","4,083","3,663","2,322","993","456","102","2"
"인천광역시 서구 연희동(2826053000)","39,919","39,919","1,990","3,188","6,208","4,764","5,554","8,382","5,909","2,371","1,340","205","8","20,370","20,370","993","1,653","3,367","2,612","2,888","4,216","3,076","1,048","473","42","2","19,549","19,549","997","1,535","2,841","2,152","2,666","4,166","2,833","1,323","867","163","6"
"인천광역시 서구 청라1동(2826053600)","31,014","31,014","3,474","4,382","3,767","5,382","6,304","4,435","2,187","696","345","40","2","15,456","15,456","1,817","2,203","1,834","2,682","3,088","2,289","1,111","304","122","6","0","15,558","15,558","1,657","2,179","1,933","2,700","3,216","2,146","1,076","392","223","34","2"
"인천광역시 서구 청라2동(2826053700)","48,201","48,201","5,710","6,731","5,415","7,303","10,196","7,009","4,004","1,243","503","83","4","23,892","23,892","2,952","3,486","2,680","3,467","4,969","3,532","2,000","618","163","25","0","24,309","24,309","2,758","3,245","2,735","3,836","5,227","3,477","2,004","625","340","58","4"
"인천광역시 서구 청라3동(2826053900)","33,660","33,660","4,743","4,291","3,633","5,906","7,100","4,492","2,519","684","233","57","2","16,729","16,729","2,383","2,192","1,829","2,794","3,544","2,285","1,305","326","66","5","0","16,931","16,931","2,360","2,099","1,804","3,112","3,556","2,207","1,214","358","167","52","2"
"인천광역시 서구 가정1동(2826054200)","35,060","35,060","4,290","2,942","3,907","6,143","6,117","5,283","4,099","1,531","629","112","7","17,554","17,554","2,268","1,513","1,989","2,969","3,255","2,595","2,008","741","196","17","3","17,506","17,506","2,022","1,429","1,918","3,174","2,862","2,688","2,091","790","433","95","4"
"인천광역시 서구 가정2동(2826054300)","6,340","6,340","315","334","954","869","738","1,453","1,207","313","125","31","1","3,314","3,314","153","169","540","464","422","740","635","152","35","4","0","3,026","3,026","162","165","414","405","316","713","572","161","90","27","1"
"인천광역시 서구 가정3동(2826054400)","9,432","9,432","404","649","1,461","1,204","1,180","2,081","1,642","521","248","39","3","4,713","4,713","195","339","765","667","604","956","875","237","66","7","2","4,719","4,719","209","310","696","537","576","1,125","767","284","182","32","1"
"인천광역시 서구 석남1동(2826055000)","21,989","21,989","1,014","1,461","2,907","2,912","3,048","4,311","3,957","1,609","652","115","3","11,346","11,346","537","763","1,565","1,653","1,674","2,180","1,968","787","191","26","2","10,643","10,643","477","698","1,342","1,259","1,374","2,131","1,989","822","461","89","1"
"인천광역시 서구 석남2동(2826056000)","12,737","12,737","560","847","1,545","1,464","1,731","2,519","2,438","1,132","430","69","2","6,575","6,575","279","434","870","802","931","1,287","1,259","538","158","17","0","6,162","6,162","281","413","675","662","800","1,232","1,179","594","272","52","2"
"인천광역시 서구 석남3동(2826056100)","13,682","13,682","506","1,082","1,958","1,629","1,903","2,742","2,363","988","443","64","4","6,910","6,910","281","538","1,042","932","1,001","1,350","1,168","451","137","10","0","6,772","6,772","225","544","916","697","902","1,392","1,195","537","306","54","4"
