"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0~9세","2022년08월_계_10~19세","2022년08월_계_20~29세","2022년08월_계_30~39세","2022년08월_계_40~49세","2022년08월_계_50~59세","2022년08월_계_60~69세","2022년08월_계_70~79세","2022년08월_계_80~89세","2022년08월_계_90~99세","2022년08월_계_100세 이상","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0~9세","2022년08월_남_10~19세","2022년08월_남_20~29세","2022년08월_남_30~39세","2022년08월_남_40~49세","2022년08월_남_50~59세","2022년08월_남_60~69세","2022년08월_남_70~79세","2022년08월_남_80~89세","2022년08월_남_90~99세","2022년08월_남_100세 이상","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0~9세","2022년08월_여_10~19세","2022년08월_여_20~29세","2022년08월_여_30~39세","2022년08월_여_40~49세","2022년08월_여_50~59세","2022년08월_여_60~69세","2022년08월_여_70~79세","2022년08월_여_80~89세","2022년08월_여_90~99세","2022년08월_여_100세 이상"
"서울특별시 중구 소공동(1114052000)","2,232","2,232","152","120","266","489","508","309","242","102","38","6","0","1,076","1,076","82","38","107","217","269","158","136","51","16","2","0","1,156","1,156","70","82","159","272","239","151","106","51","22","4","0"
"서울특별시 중구 회현동(1114054000)","4,724","4,724","173","221","452","549","619","846","1,018","541","243","57","5","2,443","2,443","89","106","217","255","333","463","585","276","104","14","1","2,281","2,281","84","115","235","294","286","383","433","265","139","43","4"
"서울특별시 중구 명동(1114055000)","2,899","2,899","82","145","370","402","413","478","520","308","153","27","1","1,271","1,271","50","69","163","214","175","213","216","122","42","6","1","1,628","1,628","32","76","207","188","238","265","304","186","111","21","0"
"서울특별시 중구 필동(1114057000)","4,042","4,042","164","192","724","669","470","580","621","344","224","53","1","2,082","2,082","84","97","369","346","258","341","324","163","84","15","1","1,960","1,960","80","95","355","323","212","239","297","181","140","38","0"
"서울특별시 중구 장충동(1114058000)","4,691","4,691","155","307","1,252","674","552","614","546","356","204","30","1","2,466","2,466","86","154","695","379","296","319","286","166","75","10","0","2,225","2,225","69","153","557","295","256","295","260","190","129","20","1"
"서울특별시 중구 광희동(1114059000)","5,322","5,322","113","197","1,092","948","605","790","818","513","217","28","1","2,689","2,689","60","87","467","519","317","444","443","259","84","8","1","2,633","2,633","53","110","625","429","288","346","375","254","133","20","0"
"서울특별시 중구 을지로동(1114060500)","1,719","1,719","36","37","246","307","179","262","364","193","84","11","0","1,045","1,045","17","21","114","174","111","192","250","118","44","4","0","674","674","19","16","132","133","68","70","114","75","40","7","0"
"서울특별시 중구 신당동(1114061500)","7,728","7,728","257","270","1,400","1,321","1,044","1,313","1,106","661","297","56","3","3,794","3,794","110","119","599","662","578","694","578","324","115","12","3","3,934","3,934","147","151","801","659","466","619","528","337","182","44","0"
"서울특별시 중구 다산동(1114062500)","13,693","13,693","487","756","2,233","2,203","1,835","2,237","2,020","1,218","608","92","4","6,641","6,641","254","405","1,071","1,128","962","1,077","935","555","228","25","1","7,052","7,052","233","351","1,162","1,075","873","1,160","1,085","663","380","67","3"
"서울특별시 중구 약수동(1114063500)","16,405","16,405","940","910","1,904","2,288","2,324","2,699","2,665","1,620","894","157","4","7,602","7,602","453","468","897","1,090","1,136","1,268","1,222","715","313","39","1","8,803","8,803","487","442","1,007","1,198","1,188","1,431","1,443","905","581","118","3"
